"mode","mean_precision","mean_recall","mean_F1","median_F1","F1_lower_10","F1_upper_90","mean_changepoints","reps"
"right",0.838235714285714,0.5574,0.668574509803922,0.705882352941176,0.5,0.823529411764706,6.612,500
"both",0.727988095238095,0.5812,0.646221534227726,0.666666666666667,0.555555555555556,0.777777777777778,7.988,500
