"scale","n_changepoints","changepoints","scale_method"
6150.12132000001,10,"1070,1526,1685,1866,2047,2409,2469,2531,2591,2768","package_global_mad"
2162.13047403466,11,"1034,1069,1526,1683,1866,2046,2408,2468,2531,2591,2768","first_difference_mad"
