"rep","mode","n_changepoints","precision","recall","F1","changepoints"
30,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2710"
30,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2428,2572,2755"
31,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2770"
31,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2770"
32,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2039,2551,2758"
32,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2575,2758"
33,"right",7,1,0.7,0.823529411764706,"1070,1525,1685,1866,2046,2592,2768"
33,"both",8,0.75,0.6,0.666666666666667,"1070,1525,1685,1866,2046,2428,2572,2768"
34,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
34,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2432,2572,2768"
35,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,1980,2594,2767"
35,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2422,2572,2767"
36,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2685"
36,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2575,2769"
37,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,1997,2724"
37,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,1997,2428,2574,2769"
38,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1525,1685,1866,2034,2591,2769"
38,"both",8,0.75,0.6,0.666666666666667,"1070,1525,1685,1866,2047,2428,2572,2769"
39,"right",7,1,0.7,0.823529411764706,"1070,1528,1685,1866,2045,2591,2768"
39,"both",8,0.875,0.7,0.777777777777778,"1070,1528,1685,1866,2046,2428,2591,2768"
40,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2587,2769"
40,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2576,2769"
41,"right",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2049,2397,2591,2768"
41,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2577,2768"
42,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2548,2769"
42,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2409,2547,2769"
43,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1925,2039,2589,2768"
43,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1925,2047,2428,2591,2768"
44,"right",6,0.666666666666667,0.4,0.5,"1070,1599,1866,1981,2591,2768"
44,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2580,2768"
45,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1571,1685,1866,2045,2587,2769"
45,"both",8,0.625,0.5,0.555555555555556,"1070,1571,1685,1866,2047,2428,2580,2768"
46,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2749"
46,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2764"
47,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2045,2577,2768"
47,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2576,2768"
48,"right",6,0.666666666666667,0.4,0.5,"1070,1614,1866,2030,2591,2768"
48,"both",9,0.444444444444444,0.4,0.421052631578947,"648,1070,1526,1627,1866,2030,2428,2572,2768"
49,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2697"
49,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2422,2572,2717"
50,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2696"
50,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2425,2576,2768"
51,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2705"
51,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2768"
52,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1662,1866,2047,2710"
52,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1662,1866,2047,2422,2573,2768"
53,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2014,2685"
53,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2428,2574,2713"
54,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2029,2460,2768"
54,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2030,2428,2575,2768"
55,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
55,"both",8,1,0.8,0.888888888888889,"1070,1526,1685,1866,2047,2413,2586,2768"
56,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2720"
56,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2578,2765"
57,"right",6,0.666666666666667,0.4,0.5,"1070,1590,1685,1866,2047,2709"
