"pattern","jump","rep","algorithm","Precision","Recall","F1","NumSegments","MSE","LocalizationError","PropCorrectNumCP"
"updown",2.8,29,"rfpop",0.875,0.875,0.875,8,0.0649111371360569,1,TRUE
"updown",2.8,30,"PELT",0.114285714285714,1,0.205128205128205,70,13.0453925340035,NA,FALSE
"updown",2.8,30,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,2.00989175243463,NA,FALSE
"updown",2.8,30,"SVP (MedianMood)",1,0.125,0.222222222222222,1,2.00989175243463,NA,FALSE
"updown",2.8,30,"rfpop",0.875,0.875,0.875,8,0.0563899132092286,1,TRUE
"updown",2.8,31,"PELT",0.0813953488372093,0.875,0.148936170212766,86,2.69021619100788,NA,FALSE
"updown",2.8,31,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.96075428600775,NA,FALSE
"updown",2.8,31,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.96075428600775,NA,FALSE
"updown",2.8,31,"rfpop",0.875,0.875,0.875,8,0.063237936760379,1,TRUE
"updown",2.8,32,"PELT",0.0888888888888889,1,0.163265306122449,90,6.16759166458646,NA,FALSE
"updown",2.8,32,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.97639311758207,NA,FALSE
"updown",2.8,32,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.97639311758207,NA,FALSE
"updown",2.8,32,"rfpop",1,1,1,8,0.0919549458627895,2,TRUE
"updown",2.8,33,"PELT",0.104477611940299,0.875,0.186666666666667,67,3.87328068406922,NA,FALSE
"updown",2.8,33,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.96354641621698,NA,FALSE
"updown",2.8,33,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.96354641621698,NA,FALSE
"updown",2.8,33,"rfpop",0.875,0.875,0.875,8,0.0619385164662468,1,TRUE
"updown",2.8,34,"PELT",0.104477611940299,0.875,0.186666666666667,67,14.5487167815544,NA,FALSE
"updown",2.8,34,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.99360703321729,NA,FALSE
"updown",2.8,34,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.99360703321729,NA,FALSE
"updown",2.8,34,"rfpop",0.75,0.75,0.75,8,0.114968095005458,2,TRUE
"updown",2.8,35,"PELT",0.1,0.875,0.17948717948718,70,33.269483590761,NA,FALSE
"updown",2.8,35,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.99964777250424,NA,FALSE
"updown",2.8,35,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.99964777250424,NA,FALSE
"updown",2.8,35,"rfpop",0.875,0.875,0.875,8,0.0550649579736262,2,TRUE
"updown",2.8,36,"PELT",0.114285714285714,1,0.205128205128205,70,4.23140373049796,NA,FALSE
"updown",2.8,36,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.96434552212232,NA,FALSE
"updown",2.8,36,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.96434552212232,NA,FALSE
"updown",2.8,36,"rfpop",0.875,0.875,0.875,8,0.106359010449083,2,TRUE
"updown",2.8,37,"PELT",0.112676056338028,1,0.20253164556962,71,2.35781815340054,NA,FALSE
"updown",2.8,37,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.96886983029945,NA,FALSE
"updown",2.8,37,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.96886983029945,NA,FALSE
"updown",2.8,37,"rfpop",1,1,1,8,0.0587464216254165,2,TRUE
"updown",2.8,38,"PELT",0.0842105263157895,1,0.155339805825243,95,12.4688254466288,NA,FALSE
"updown",2.8,38,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.96402676427092,NA,FALSE
"updown",2.8,38,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.96402676427092,NA,FALSE
"updown",2.8,38,"rfpop",1,1,1,8,0.0426601462909495,1,TRUE
"updown",2.8,39,"PELT",0.0714285714285714,0.75,0.130434782608696,84,5.50818849071031,NA,FALSE
"updown",2.8,39,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.9730158664863,NA,FALSE
"updown",2.8,39,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.9730158664863,NA,FALSE
"updown",2.8,39,"rfpop",0.75,0.75,0.75,8,0.136249335593331,1,TRUE
"updown",2.8,40,"PELT",0.0909090909090909,1,0.166666666666667,88,20.8793458994892,NA,FALSE
"updown",2.8,40,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.96177093331248,NA,FALSE
"updown",2.8,40,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.96177093331248,NA,FALSE
"updown",2.8,40,"rfpop",0.875,0.875,0.875,8,0.0659521726363188,1,TRUE
"updown",2.8,41,"PELT",0.0816326530612245,1,0.150943396226415,98,8.80201525065719,NA,FALSE
"updown",2.8,41,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.9627952555496,NA,FALSE
"updown",2.8,41,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.9627952555496,NA,FALSE
"updown",2.8,41,"rfpop",0.875,0.875,0.875,8,0.0530368931258857,0,TRUE
"updown",2.8,42,"PELT",0.0919540229885057,1,0.168421052631579,87,4.7755733981645,NA,FALSE
"updown",2.8,42,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.97553847005743,NA,FALSE
"updown",2.8,42,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.97553847005743,NA,FALSE
"updown",2.8,42,"rfpop",1,1,1,8,0.00877129781482485,0,TRUE
"updown",2.8,43,"PELT",0.105263157894737,1,0.19047619047619,76,4.50141240285767,NA,FALSE
"updown",2.8,43,"SVP (Wilcoxon)",1,0.125,0.222222222222222,1,1.96000181175241,NA,FALSE
"updown",2.8,43,"SVP (MedianMood)",1,0.125,0.222222222222222,1,1.96000181175241,NA,FALSE
