"n","PELT","PELT_nchanges","SVP","SVP_nchanges"
500,0.001,0,0.002,1
500,0.001,0,0.004,1
500,0.00099999999999989,0,0.002,1
500,0.00100000000000011,0,0.00299999999999989,1
500,0.00099999999999989,0,0.00299999999999989,1
500,0.00100000000000011,0,0.00300000000000011,1
500,0.00099999999999989,0,0.002,1
500,0.00100000000000011,0,0.00299999999999989,1
500,0.00099999999999989,0,0.002,1
500,0.00099999999999989,0,0.00299999999999989,1
500,0.00099999999999989,0,0.004,1
500,0.00100000000000011,0,0.00299999999999989,1
500,0.00100000000000011,0,0.00300000000000011,1
500,0.00100000000000011,0,0.002,1
500,0.00099999999999989,0,0.002,1
500,0.00100000000000011,0,0.002,1
500,0.00100000000000011,0,0.002,1
500,0.00099999999999989,0,0.00300000000000011,1
500,0,0,0.00300000000000011,1
500,0.00100000000000033,0,0.00300000000000011,1
1526,0.004,0,0.00999999999999979,1
1526,0.00499999999999989,0,0.00800000000000001,1
1526,0.004,0,0.00999999999999979,1
1526,0.004,0,0.00800000000000001,1
1526,0.00499999999999989,0,0.00800000000000001,1
1526,0.004,0,0.00800000000000001,1
1526,0.004,0,0.00800000000000001,1
1526,0.004,0,0.00999999999999979,1
1526,0.00300000000000011,0,0.00800000000000001,1
1526,0.004,0,0.0089999999999999,1
1526,0.004,0,0.0089999999999999,1
1526,0.004,0,0.00800000000000001,1
1526,0.004,0,0.0089999999999999,1
1526,0.004,0,0.00900000000000034,1
1526,0.004,0,0.00800000000000001,1
1526,0.004,0,0.0100000000000002,1
1526,0.004,0,0.0089999999999999,1
1526,0.00300000000000011,0,0.0100000000000002,1
1526,0.004,0,0.0089999999999999,1
1526,0.004,0,0.0089999999999999,1
2553,0.0100000000000002,0,0.0220000000000002,1
2553,0.0100000000000002,0,0.02,1
2553,0.00999999999999979,0,0.0179999999999998,1
2553,0.00900000000000034,0,0.0190000000000001,1
2553,0.00999999999999979,0,0.0170000000000003,1
2553,0.00999999999999979,0,0.0190000000000001,1
2553,0.00999999999999979,0,0.0190000000000001,1
2553,0.0109999999999992,0,0.0169999999999995,1
2553,0.00999999999999979,0,0.0170000000000003,1
2553,0.00900000000000034,0,0.0170000000000003,1
2553,0.0110000000000001,0,0.0169999999999995,1
2553,0.0100000000000007,0,0.0169999999999995,1
2553,0.0100000000000007,0,0.0189999999999992,1
2553,0.00999999999999979,0,0.0190000000000001,1
2553,0.00999999999999979,0,0.016,1
2553,0.0110000000000001,0,0.0190000000000001,1
2553,0.0110000000000001,0,0.0200000000000005,1
2553,0.00999999999999979,0,0.0199999999999996,1
2553,0.0110000000000001,0,0.0190000000000001,1
2553,0.0120000000000005,0,0.0179999999999998,1
3579,0.0200000000000005,0,0.0279999999999996,1
3579,0.0199999999999996,0,0.0309999999999997,1
3579,0.0209999999999999,0,0.0300000000000002,1
3579,0.0190000000000001,0,0.032,1
3579,0.0189999999999992,0,0.0289999999999999,1
3579,0.0199999999999996,0,0.0300000000000002,1
3579,0.0190000000000001,0,0.0339999999999998,1
3579,0.0200000000000005,0,0.032,1
3579,0.0220000000000002,0,0.0300000000000002,1
3579,0.0190000000000001,0,0.0309999999999997,1
3579,0.0200000000000005,0,0.0310000000000006,1
3579,0.0200000000000005,0,0.0289999999999999,1
3579,0.0200000000000005,0,0.0309999999999997,1
3579,0.0190000000000001,0,0.0290000000000008,1
3579,0.0209999999999999,0,0.0299999999999994,1
3579,0.0190000000000001,0,0.032,1
3579,0.0220000000000002,0,0.0299999999999994,1
3579,0.0209999999999999,0,0.032,1
3579,0.0220000000000002,0,0.0309999999999997,1
3579,0.0190000000000001,0,0.0299999999999994,1
4605,0.032,0,0.0449999999999999,1
4605,0.0339999999999998,0,0.0419999999999998,1
4605,0.032,0,0.0449999999999999,1
4605,0.032,0,0.0469999999999988,1
4605,0.0329999999999995,0,0.0440000000000005,1
4605,0.032,0,0.043000000000001,1
4605,0.0329999999999995,0,0.0470000000000006,1
4605,0.0339999999999989,0,0.0419999999999998,1
4605,0.032,0,0.0440000000000005,1
4605,0.0330000000000013,0,0.0449999999999999,1
4605,0.0329999999999995,0,0.0440000000000005,1
4605,0.0329999999999995,0,0.043000000000001,1
4605,0.032,0,0.0449999999999999,1
4605,0.0340000000000007,0,0.0470000000000006,1
4605,0.032,0,0.0419999999999998,1
4605,0.032,0,0.0429999999999993,1
4605,0.0350000000000001,0,0.0449999999999999,1
4605,0.032,0,0.043000000000001,1
4605,0.0329999999999995,0,0.0439999999999987,1
4605,0.0339999999999989,0,0.0439999999999987,1
5632,0.0489999999999999,0,0.0669999999999999,1
5632,0.05,0,0.0600000000000001,1
5632,0.05,0,0.0620000000000001,1
5632,0.0469999999999999,0,0.0660000000000001,1
5632,0.048,0,0.0589999999999999,1
5632,0.048,0,0.0609999999999999,1
5632,0.0500000000000003,0,0.0619999999999998,1
5632,0.0499999999999998,0,0.0609999999999999,1
5632,0.048,0,0.0590000000000002,1
5632,0.0489999999999999,0,0.0609999999999999,1
5632,0.0470000000000002,0,0.0590000000000002,1
5632,0.0479999999999996,0,0.0580000000000003,1
5632,0.048,0,0.0609999999999999,1
5632,0.0489999999999999,0,0.0600000000000001,1
5632,0.0470000000000002,0,0.0609999999999999,1
5632,0.0489999999999999,0,0.0610000000000004,1
5632,0.0489999999999999,0,0.0620000000000003,1
5632,0.048,0,0.0579999999999998,1
5632,0.0490000000000004,0,0.0590000000000002,1
5632,0.048,0,0.0590000000000002,1
6658,0.069,0,0.0790000000000006,1
6658,0.0670000000000002,0,0.0759999999999996,1
6658,0.0660000000000007,0,0.0780000000000003,1
6658,0.0680000000000005,0,0.0750000000000002,1
6658,0.0660000000000007,0,0.0780000000000003,1
6658,0.0660000000000007,0,0.0750000000000002,1
6658,0.0659999999999998,0,0.0759999999999996,1
6658,0.0670000000000002,0,0.0759999999999996,1
6658,0.0659999999999998,0,0.077,1
6658,0.0659999999999998,0,0.0739999999999998,1
6658,0.0649999999999995,0,0.0759999999999996,1
6658,0.069,0,0.0759999999999996,1
6658,0.0640000000000001,0,0.077,1
6658,0.0679999999999996,0,0.0789999999999997,1
6658,0.069,0,0.0780000000000003,1
6658,0.069,0,0.0779999999999994,1
6658,0.0670000000000002,0,0.0779999999999994,1
6658,0.0690000000000008,0,0.0750000000000011,1
6658,0.0679999999999996,0,0.077,1
6658,0.0679999999999996,0,0.0790000000000006,1
7684,0.0879999999999992,0,0.0999999999999996,1
7684,0.0910000000000011,0,0.0960000000000001,1
7684,0.0909999999999993,0,0.0980000000000008,1
7684,0.0899999999999999,0,0.097999999999999,1
7684,0.0899999999999999,0,0.0969999999999995,1
7684,0.0899999999999999,0,0.0960000000000001,1
7684,0.0899999999999999,0,0.0960000000000001,1
7684,0.0839999999999996,0,0.0889999999999986,1
7684,0.0920000000000005,0,0.0920000000000005,1
7684,0.0830000000000002,0,0.0860000000000003,1
7684,0.0920000000000005,0,0.0950000000000006,1
7684,0.0860000000000003,0,0.0910000000000011,1
7684,0.0899999999999999,0,0.0889999999999986,1
7684,0.0829999999999984,0,0.0899999999999999,1
7684,0.0920000000000005,0,0.0909999999999993,1
7684,0.0830000000000002,0,0.0910000000000011,1
7684,0.0909999999999993,0,0.0869999999999997,1
7684,0.0869999999999997,0,0.093,1
7684,0.0910000000000011,0,0.0839999999999996,1
7684,0.0840000000000014,0,0.0960000000000001,1
8711,0.118,0,0.110000000000001,1
8711,0.111000000000001,0,0.113,1
8711,0.107000000000001,0,0.111000000000001,1
8711,0.120000000000001,0,0.105,1
8711,0.108000000000001,0,0.115,1
8711,0.115,0,0.113,1
8711,0.120000000000001,0,0.108000000000001,1
8711,0.107999999999999,0,0.112,1
8711,0.119,0,0.109,1
8711,0.114000000000001,0,0.113,1
8711,0.109000000000002,0,0.111999999999998,1
8711,0.120999999999999,0,0.106999999999999,1
8711,0.108999999999998,0,0.114999999999998,1
8711,0.114000000000001,0,0.111000000000001,1
8711,0.123000000000001,0,0.115000000000002,1
8711,0.109000000000002,0,0.113,1
8711,0.120000000000001,0,0.113,1
8711,0.118000000000002,0,0.114000000000001,1
8711,0.111000000000001,0,0.107000000000003,1
8711,0.121000000000002,0,0.120999999999999,1
9737,0.141000000000002,0,0.132000000000001,1
9737,0.148,0,0.128999999999998,1
9737,0.145,0,0.141999999999999,1
9737,0.135000000000002,0,0.129000000000001,1
9737,0.152000000000001,0,0.137,1
9737,0.154,0,0.137,1
9737,0.154,0,0.143000000000001,1
9737,0.167000000000002,0,0.146999999999998,1
9737,0.157999999999998,0,0.146999999999998,1
9737,0.182000000000002,0,0.163999999999998,1
9737,0.183,0,0.155000000000001,1
9737,0.177,0,0.181000000000001,1
9737,0.213000000000001,0,0.184000000000001,1
9737,0.203000000000003,0,0.218,1
9737,0.274000000000001,0,0.245999999999999,1
9737,0.289000000000001,0,0.235000000000003,1
9737,0.280999999999999,0,0.253,1
9737,0.281000000000002,0,0.241,1
9737,0.294,0,0.230999999999998,1
9737,0.273999999999997,0,0.245999999999999,1
10763,0.177,0,0.18,1
10763,0.187,0,0.161,1
10763,0.174,0,0.162,1
10763,0.173,0,0.166,1
10763,0.175,0,0.158,1
10763,0.173,0,0.161,1
10763,0.173,0,0.168,1
10763,0.173,0,0.161,1
10763,0.181,0,0.163,1
10763,0.173,0,0.162000000000001,1
10763,0.172999999999999,0,0.163,1
10763,0.177,0,0.166,1
10763,0.175,0,0.164000000000001,1
10763,0.173999999999999,0,0.16,1
10763,0.178,0,0.163,1
10763,0.175,0,0.170000000000001,1
10763,0.176,0,0.164,1
10763,0.178000000000001,0,0.164,1
10763,0.177,0,0.17,1
10763,0.176,0,0.164,1
11789,0.212999999999999,0,0.189,1
11789,0.214,0,0.191000000000001,1
11789,0.213000000000001,0,0.175000000000001,1
11789,0.214,0,0.17,1
11789,0.215,0,0.173999999999999,1
11789,0.211,0,0.170999999999999,1
