"experiment","n","k","rep","method","time","batch","block_elapsed","detected"
"vary_n",528,0,12,"SVP Gaussian / right / c = 1.642",8.63636363636353e-05,1100,0.0949999999999989,1
"vary_n",528,0,12,"SVP Gaussian / both / c = 1.987",0.00463636363636381,11,0.0510000000000019,1
"vary_n",528,0,12,"SVP Gaussian / none / c = 0.968",0.000321428571428584,280,0.0900000000000034,1
"vary_n",528,0,12,"PELT",0.00039393939393938,165,0.0649999999999977,1
"vary_n",632,0,1,"SVP Gaussian / both / c = 1.987",0.00699999999999967,8,0.0559999999999974,1
"vary_n",632,0,1,"PELT",0.000571428571428572,112,0.0640000000000001,2
"vary_n",632,0,1,"SVP Gaussian / right / c = 1.642",9.28571428571421e-05,560,0.0519999999999996,1
"vary_n",632,0,1,"SVP Gaussian / none / c = 0.968",0.00103571428571441,56,0.0580000000000069,2
"vary_n",632,0,2,"PELT",0.000544642857142857,112,0.0609999999999999,1
"vary_n",632,0,2,"SVP Gaussian / none / c = 0.968",9.64285714285751e-05,560,0.054000000000002,1
"vary_n",632,0,2,"SVP Gaussian / right / c = 1.642",9.39393939393903e-05,660,0.0619999999999976,1
"vary_n",632,0,2,"SVP Gaussian / both / c = 1.987",0.00675000000000026,8,0.054000000000002,1
"vary_n",632,0,3,"SVP Gaussian / right / c = 1.642",9.41558441558439e-05,616,0.0579999999999998,1
"vary_n",632,0,3,"SVP Gaussian / none / c = 0.968",9.64285714285751e-05,560,0.054000000000002,1
"vary_n",632,0,3,"PELT",0.000545454545454566,110,0.0600000000000023,1
"vary_n",632,0,3,"SVP Gaussian / both / c = 1.987",0.00699999999999967,8,0.0559999999999974,1
"vary_n",632,0,4,"SVP Gaussian / right / c = 1.642",9.41558441558439e-05,616,0.0579999999999998,1
"vary_n",632,0,4,"SVP Gaussian / none / c = 0.968",0.000964285714285751,56,0.054000000000002,1
"vary_n",632,0,4,"SVP Gaussian / both / c = 1.987",0.00662499999999966,8,0.0529999999999973,1
"vary_n",632,0,4,"PELT",0.000526785714285692,112,0.0589999999999975,1
"vary_n",632,0,5,"SVP Gaussian / both / c = 1.987",0.00687499999999996,8,0.0549999999999997,1
"vary_n",632,0,5,"PELT",0.00057272727272723,110,0.0629999999999953,1
"vary_n",632,0,5,"SVP Gaussian / none / c = 0.968",0.000101818181818177,550,0.0559999999999974,1
"vary_n",632,0,5,"SVP Gaussian / right / c = 1.642",9.4642857142865e-05,560,0.0530000000000044,1
"vary_n",632,0,6,"SVP Gaussian / both / c = 1.987",0.00674999999999937,8,0.0539999999999949,1
"vary_n",632,0,6,"SVP Gaussian / right / c = 1.642",9.4642857142865e-05,560,0.0530000000000044,1
"vary_n",632,0,6,"PELT",0.000562500000000021,112,0.0630000000000024,1
"vary_n",632,0,6,"SVP Gaussian / none / c = 0.968",0.000122727272727277,660,0.0810000000000031,1
"vary_n",632,0,7,"SVP Gaussian / right / c = 1.642",0.000101785714285718,560,0.0570000000000022,1
"vary_n",632,0,7,"PELT",0.000627272727272686,110,0.0689999999999955,1
"vary_n",632,0,7,"SVP Gaussian / both / c = 1.987",0.00675000000000026,8,0.054000000000002,1
"vary_n",632,0,7,"SVP Gaussian / none / c = 0.968",0.000963636363636314,55,0.0529999999999973,1
"vary_n",632,0,8,"SVP Gaussian / none / c = 0.968",0.000767857142857193,112,0.0860000000000056,1
"vary_n",632,0,8,"PELT",0.000625000000000003,112,0.0700000000000003,1
"vary_n",632,0,8,"SVP Gaussian / both / c = 1.987",0.00675000000000026,8,0.054000000000002,1
"vary_n",632,0,8,"SVP Gaussian / right / c = 1.642",9.46428571428523e-05,560,0.0529999999999973,1
"vary_n",632,0,9,"SVP Gaussian / both / c = 1.987",0.00712499999999938,8,0.056999999999995,1
"vary_n",632,0,9,"SVP Gaussian / none / c = 0.968",0.00037857142857146,140,0.0530000000000044,1
"vary_n",632,0,9,"PELT",0.000440909090909097,220,0.0970000000000013,1
"vary_n",632,0,9,"SVP Gaussian / right / c = 1.642",9.54545454545491e-05,660,0.0630000000000024,1
"vary_n",632,0,10,"SVP Gaussian / none / c = 0.968",0.000963636363636314,55,0.0529999999999973,1
"vary_n",632,0,10,"SVP Gaussian / right / c = 1.642",9.28571428571421e-05,560,0.0519999999999996,1
"vary_n",632,0,10,"PELT",0.000536363636363678,110,0.0590000000000046,1
"vary_n",632,0,10,"SVP Gaussian / both / c = 1.987",0.00675000000000026,8,0.054000000000002,1
"vary_n",632,0,11,"SVP Gaussian / none / c = 0.968",0.000130357142857144,560,0.0730000000000004,1
"vary_n",632,0,11,"PELT",0.000545454545454566,110,0.0600000000000023,1
"vary_n",632,0,11,"SVP Gaussian / both / c = 1.987",0.00714285714285674,14,0.0999999999999943,1
"vary_n",632,0,11,"SVP Gaussian / right / c = 1.642",9.64285714285751e-05,560,0.054000000000002,1
"vary_n",632,0,12,"SVP Gaussian / none / c = 0.968",9.81818181818219e-05,550,0.054000000000002,1
"vary_n",632,0,12,"PELT",0.000556249999999991,160,0.0889999999999986,1
"vary_n",632,0,12,"SVP Gaussian / both / c = 1.987",0.00675000000000026,8,0.054000000000002,1
"vary_n",632,0,12,"SVP Gaussian / right / c = 1.642",9.57792207792167e-05,616,0.0589999999999975,1
"vary_n",758,0,1,"PELT",0.000499999999999977,112,0.0559999999999974,1
"vary_n",758,0,1,"SVP Gaussian / right / c = 1.642",0.000107142857142861,560,0.0600000000000023,1
"vary_n",758,0,1,"SVP Gaussian / both / c = 1.987",0.00950000000000036,6,0.0570000000000022,1
"vary_n",758,0,1,"SVP Gaussian / none / c = 0.968",0.000422619047619035,168,0.070999999999998,1
"vary_n",758,0,2,"PELT",0.000709090909090871,110,0.0779999999999959,1
"vary_n",758,0,2,"SVP Gaussian / both / c = 1.987",0.0100000000000004,6,0.0600000000000023,1
"vary_n",758,0,2,"SVP Gaussian / right / c = 1.642",0.000110909090909091,550,0.0609999999999999,1
"vary_n",758,0,2,"SVP Gaussian / none / c = 0.968",0.000112727272727268,550,0.0619999999999976,1
"vary_n",758,0,3,"PELT",0.000723214285714313,112,0.0810000000000031,1
"vary_n",758,0,3,"SVP Gaussian / right / c = 1.642",0.000114285714285714,560,0.0640000000000001,1
"vary_n",758,0,3,"SVP Gaussian / both / c = 1.987",0.0100999999999999,10,0.100999999999999,1
"vary_n",758,0,3,"SVP Gaussian / none / c = 0.968",0.000110714285714294,560,0.0620000000000047,1
"vary_n",758,0,4,"SVP Gaussian / none / c = 0.968",0.000108928571428571,560,0.0609999999999999,1
"vary_n",758,0,4,"SVP Gaussian / right / c = 1.642",0.000107142857142861,560,0.0600000000000023,1
"vary_n",758,0,4,"PELT",0.00075454545454544,110,0.0829999999999984,1
"vary_n",758,0,4,"SVP Gaussian / both / c = 1.987",0.0102000000000004,5,0.0510000000000019,1
"vary_n",758,0,5,"SVP Gaussian / both / c = 1.987",0.0103333333333341,6,0.0620000000000047,1
"vary_n",758,0,5,"SVP Gaussian / right / c = 1.642",0.00674999999999937,8,0.0539999999999949,2
"vary_n",758,0,5,"SVP Gaussian / none / c = 0.968",0.000342857142857156,280,0.0960000000000036,1
"vary_n",758,0,5,"PELT",0.000554545454545454,110,0.0609999999999999,1
"vary_n",758,0,6,"SVP Gaussian / right / c = 1.642",0.000107272727272723,550,0.0589999999999975,1
"vary_n",758,0,6,"PELT",0.000627272727272686,110,0.0689999999999955,1
"vary_n",758,0,6,"SVP Gaussian / both / c = 1.987",0.00950000000000036,6,0.0570000000000022,1
"vary_n",758,0,6,"SVP Gaussian / none / c = 0.968",0.00112500000000004,56,0.0630000000000024,1
"vary_n",758,0,7,"SVP Gaussian / both / c = 1.987",0.00983333333333292,6,0.0589999999999975,1
"vary_n",758,0,7,"PELT",0.000696428571428598,112,0.078000000000003,1
"vary_n",758,0,7,"SVP Gaussian / right / c = 1.642",0.000110714285714281,560,0.0619999999999976,1
"vary_n",758,0,7,"SVP Gaussian / none / c = 0.968",0.000228947368421061,380,0.0870000000000033,1
