"method","range","exponent","lower","upper"
"SVP Gaussian / right / c = 1.642","full grid",0.823365122521222,0.819130929416983,0.825510331607251
"SVP Gaussian / right / c = 1.642","upper half",0.993881995494243,0.985188406029862,1.00044559261243
"SVP Gaussian / none / c = 0.968","full grid",1.87595974885248,1.71693748041364,1.96437761845314
"SVP Gaussian / none / c = 0.968","upper half",1.70017439244007,1.30486834642542,2.32752835714294
"SVP Gaussian / both / c = 1.987","full grid",2.0842134951643,2.07981137261135,2.08871294675756
"SVP Gaussian / both / c = 1.987","upper half",2.05318729466403,2.04807404205176,2.05887977738842
"PELT","full grid",1.68535753340684,1.65071859224154,1.71274464736847
"PELT","upper half",1.98984544328837,1.86376178061776,2.09654552055968
