"method","range","exponent","lower","upper"
"DeCAFS AR1","n >= 1000",1.04044860113254,1.03748345250604,1.04237363411153
"SVP AR1Focus + AR1 cost / right / c = 1.950","n >= 1000",1.06168834783922,1.05663486902437,1.0660062683711
"PELT AR1 approximate","n >= 1000",1.99490927104743,1.99315752879921,1.99505364350691
"PELT inflated","n >= 1000",1.95751495036858,1.95328250838189,1.96100614198649
