"method","range","exponent","lower","upper"
"PELT","n >= 500",0.527441720869275,0.5230186857409,0.531112478924182
"RFPOP","n >= 500",1.12220797501237,1.11262276448832,1.12674630719271
"SVP MedianMood / right / alpha = 0.001","n >= 500",1.88160095914179,1.87975210340835,1.88525242390905
"SVP Wilcoxon / right / c = 1.75","n >= 500",1.80329714879837,1.80240094045837,1.80440527294419
