"method","detected","replicates","mean_time","median_time","lower","upper"
"PELT",414,4,0.00147321428572056,0.00148214285714131,0.00141071428572559,0.00151785714287403
"PELT",419,4,0.00297142857149311,0.00191071428571377,0.00146428571429169,0.0066000000002532
"PELT",424,5,0.00164103896103104,0.0014909090908821,0.00144642857141467,0.0021964285714213
"PELT",425,7,0.00154591836734867,0.00151785714285779,0.00146428571429169,0.00160714285714546
"PELT",426,7,0.00149090909091103,0.00149999999999701,0.00144642857142685,0.00151785714287403
"PELT",428,8,0.00175000000003297,0.00144642857143091,0.00142857142857013,0.00150000000000107
"PELT",429,4,0.00178571428571571,0.00149107142857271,0.00144642857143091,0.00271428571428649
"PELT",431,7,0.00173617810762776,0.00151785714285779,0.00151785714284155,0.00158181818180972
"PELT",432,7,0.00146303339517106,0.0014642857142856,0.00144642857139843,0.00148214285711999
"PELT",433,6,0.00147754329004262,0.00146428571428357,0.00145048701298651,0.00151785714285779
"PELT",435,6,0.00150162337663056,0.00150000000002949,0.00143750000000052,0.00156737012986167
"PELT",437,6,0.00162651515151269,0.0015402597402623,0.00145535714285318,0.00188392857142259
"PELT",438,6,0.00161168831168815,0.0014910714285585,0.00146428571430793,0.001879707792198
"PELT",439,9,0.00149206349206486,0.00149999999999701,0.00145454545454413,0.00153571428573481
"PELT",440,7,0.0015282003710561,0.00148214285714029,0.00146428571432417,0.00156363636364073
"PELT",441,8,0.00165734577921467,0.00148652597403382,0.00146428571429169,0.00149999999999701
"PELT",442,5,0.00147662337661131,0.00148214285711999,0.00144642857143091,0.00149999999998077
"PELT",443,10,0.00171156015037194,0.00150000000001325,0.00146428571429169,0.00153571428571857
"PELT",444,13,0.00164522977023658,0.00150000000001325,0.00146428571429169,0.00157142857142389
"PELT",445,14,0.00167022263451308,0.00148214285712811,0.00146428571429169,0.00150000000001325
"PELT",446,14,0.00166004174397302,0.00150000000002949,0.00146850649351067,0.00157142857148886
"PELT",447,14,0.00149121057513608,0.00149107142858286,0.00146428571427504,0.00151785714287403
"PELT",448,13,0.00161263736264983,0.00150000000001325,0.00148214285711999,0.00151785714297148
"PELT",449,8,0.0015078327922016,0.00149107142856662,0.00146428571429169,0.00154036931816793
"PELT",450,13,0.00169910221357343,0.00149999999991581,0.00148214285713623,0.00158928571428467
"PELT",451,15,0.0016392857142931,0.00148214285724992,0.00148214285711999,0.00153571428571857
"PELT",452,13,0.00156743256743074,0.00150000000001325,0.00148214285711999,0.00153571428571248
"PELT",453,21,0.00153231292517908,0.00150000000001325,0.00148214285715247,0.00150000000004573
"PELT",454,8,0.00152901785714578,0.00150892857144364,0.00148214285711999,0.00158928571428467
"PELT",455,24,0.00164807900433093,0.00151363636364944,0.00148214285715247,0.00158928571428467
"PELT",456,15,0.00161424242424414,0.00149999999999701,0.00148214285715247,0.00153571428571045
"PELT",457,27,0.00161277056276368,0.00149999999999701,0.00148214285715247,0.00151785714284155
"PELT",458,16,0.00164878246753512,0.00149107142857346,0.00148214285711999,0.00151785714285779
"PELT",459,18,0.00232527151211517,0.00153571428571857,0.00151785714285779,0.00242857142858099
"PELT",460,26,0.0017554826752215,0.0015177033492871,0.00149999999998077,0.00155357142856311
"PELT",461,21,0.00178988949646938,0.0015090909091007,0.00150000000001325,0.00152631578947349
"PELT",462,16,0.00166637581167791,0.00149999999999701,0.00148214285715247,0.00153571428570233
"PELT",463,25,0.00158394805195121,0.00151785714287403,0.00149999999998077,0.00155357142856311
"PELT",464,22,0.00169523317591702,0.00151785714284155,0.00150454545455668,0.00153571428571857
"PELT",465,27,0.00164086162375551,0.00153571428570233,0.00150909090906763,0.00158928571428467
"PELT",466,29,0.00165937551559665,0.00151785714284155,0.00149999999998077,0.0015535714285956
"PELT",467,22,0.00164876654444462,0.00150892857144364,0.00149545454545609,0.00153593750005153
"PELT",468,31,0.00153205906995896,0.00150000000004573,0.00149999999991581,0.00153571428563737
"PELT",469,18,0.00168804112552649,0.00153571428567391,0.00150892857141928,0.0015624999999935
"PELT",470,23,0.00168975452464343,0.00150000000001325,0.00148214285715247,0.00153571428573481
"PELT",471,32,0.00171337648098549,0.00151785714285779,0.00149999999998077,0.0015446428571652
"PELT",472,19,0.00174449001291417,0.00151785714284155,0.00149999999999701,0.00158181818180972
"PELT",473,27,0.0016278860028909,0.00153571428563737,0.00150000000001325,0.00157142857148886
"PELT",474,30,0.541997943722951,0.00151785714284155,0.00149999999998889,0.00155357142856311
"PELT",475,33,0.001664621781727,0.00153571428570233,0.00150000000001325,0.00154545454543867
"PELT",476,27,0.00159752411331271,0.00153571428570233,0.00151785714284155,0.00155357142857935
"PELT",477,26,0.00182959540459115,0.00155357142856311,0.00153571428570233,0.00158928571428467
"PELT",478,34,0.00156814161071052,0.00153571428575106,0.00151785714285779,0.00155357142856717
"PELT",479,35,0.00165315154768985,0.00151785714287403,0.00151785714284155,0.00154545454543867
"PELT",480,29,0.00165548589342751,0.00151785714287403,0.00150000000001325,0.00155357142856311
"PELT",481,43,0.00163560857747245,0.0015357142857673,0.00151785714284155,0.00155357142856311
"PELT",482,31,0.0017119815668171,0.00153571428570233,0.00151785714284155,0.00155357142856311
"PELT",483,28,0.0016028708134036,0.00155357142856311,0.00152256493503052,0.00155357142864554
"PELT",484,33,0.00170236697114767,0.00154545454547174,0.00151785714285779,0.00157142857142389
"PELT",485,30,0.00174561688311564,0.00154058441559398,0.00153571428563737,0.00158035714288677
"PELT",486,33,0.00162335901737405,0.0015357142857673,0.00151785714287403,0.00157142857145638
"PELT",487,38,0.00164680735930505,0.00153149350649428,0.00151785714284155,0.0015535714285956
"PELT",488,43,0.00172371798948174,0.0015357142857673,0.00153571428570233,0.00157142857142795
"PELT",489,45,0.00183514581908906,0.0015357142857673,0.00151785714285779,0.00156363636362419
"PELT",490,35,0.00163519626989798,0.00155357142856311,0.00151785714287403,0.00157142857148886
"PELT",491,28,0.00173979591836318,0.00153571428563737,0.00151785714284155,0.00155357142856311
"PELT",492,34,0.00159417494268604,0.00155357142856311,0.00151785714287403,0.00157142857135893
"PELT",493,34,0.001627850207071,0.00154058441560328,0.00151785714287403,0.00158928571428467
"PELT",494,36,0.00180288600287452,0.00153571428571654,0.0015267857142557,0.00156753246752404
"PELT",495,39,0.00169259731496555,0.00155357142856311,0.00153571428573481,0.0015535714285956
"PELT",496,44,0.00157002656435203,0.00153571428570233,0.00151785714285779,0.00155379464285598
"PELT",497,31,0.00180557184748726,0.00155357142856311,0.00153571428570233,0.00158928571428467
"PELT",498,32,0.00167578125000085,0.00155357142856311,0.00153571428572649,0.00157142857147262
"PELT",499,25,0.00171554066987622,0.00155357142856311,0.00151785714297148,0.00158928571428467
"PELT",500,37,0.00174241839241928,0.00156363636355805,0.00153571428573481,0.00160714285714343
"PELT",501,29,0.001713390058226,0.00157142857135893,0.00155357142856311,0.00158928571428467
"PELT",502,24,0.00164955357142966,0.00155357142856311,0.00153571428566985,0.00157142857142389
"PELT",503,27,0.622567460317472,0.00157142857135893,0.00153571428573481,0.00158928571428467
"PELT",504,43,0.00163894474558087,0.00155357142856311,0.0015357142857673,0.00157142857142389
